phenotypes,gene,chromosome,start,end,minP,T2D:pValue,T2D:zStat,T2D:nParam,T2D:subjects,chiSquared
["T2D"],"PSORS1C2","6",31105311,31106843,1.5509734098526467e-20,1.5509734098526467e-20,9.215374119834943,,1157360,1.5509734098526427e-20
["T2D"],"EML2","19",46110252,46148860,1.7301642942782346e-20,1.7301642942782346e-20,9.203637588172374,,1070202,1.7301642942782328e-20
["T2D"],"SPRED2","2",65537985,65659771,2.3152237132528165e-20,2.3152237132528165e-20,9.172297107514778,,1039160,2.3152237132528138e-20
["T2D"],"MRPS35","12",27863755,27909228,3.025183588528721e-20,3.025183588528721e-20,9.14342748053817,,1030695,3.02518358852873e-20
["T2D"],"FITM2","20",42931480,42939842,3.189669654777617e-20,3.189669654777617e-20,9.13770208262171,,994263,3.1896696547776173e-20
["T2D"],"WSCD2","12",108523065,108644314,3.606356264956957e-20,3.606356264956957e-20,9.124411397094242,,1066186,3.606356264956968e-20
["T2D"],"MANSC4","12",27915360,27933169,3.918930211991879e-20,3.918930211991879e-20,9.115403031019929,,1257061,3.9189302119918934e-20
["T2D"],"ARL15","5",53179772,53606412,4.9336772932062936e-20,4.9336772932062936e-20,9.090401992259821,,1047891,4.9336772932062954e-20
["T2D"],"GLIS3","9",3824127,4348392,1.122227742832503e-19,1.122227742832503e-19,9.000620484501274,,1029459,1.1222277428325067e-19
["T2D"],"SLC22A18AS","11",2908574,2925043,2.0753541482590243e-19,2.0753541482590243e-19,8.932877060763953,,953554,2.0753541482590236e-19
["T2D"],"DGAT1","8",145538247,145550573,2.1684131527485654e-19,2.1684131527485654e-19,8.928024750447122,,901519,2.168413152748566e-19
["T2D"],"VPS13C","15",62144588,62352672,3.8449990810270503e-19,3.8449990810270503e-19,8.864424871505928,,933499,3.8449990810270484e-19
["T2D"],"RGS17","6",153325594,153452417,4.248912298701011e-19,4.248912298701011e-19,8.853287695037897,,1223237,4.2489122987010057e-19
["T2D"],"DMWD","19",46286205,46296103,5.255641374988378e-19,5.255641374988378e-19,8.82953389700552,,1174514,5.255641374988371e-19
["T2D"],"AGPAT6","8",41434706,41482520,6.475039487651268e-19,6.475039487651268e-19,8.806164639144955,,1027280,6.475039487651281e-19
["T2D"],"INAFM2","15",40615893,40618916,6.509741591264636e-19,6.509741591264636e-19,8.805565193878778,,1150507,6.50974159126462e-19
["T2D"],"CRHR2","7",30691558,30739745,8.280833942506084e-19,8.280833942506084e-19,8.778535725881042,,986044,8.280833942506087e-19
["T2D"],"SPPL3","12",121200313,121342161,9.704920480890022e-19,9.704920480890022e-19,8.760666999744052,,1018639,9.704920480890003e-19
["T2D"],"OSER1","20",42824579,42839411,1.9340381068941592e-18,1.9340381068941592e-18,8.682604478347855,,1077537,1.934038106894156e-18
["T2D"],"BAG6","6",31606805,31620482,3.2379968758561227e-18,3.2379968758561227e-18,8.623814594261123,,970247,3.237996875856123e-18
["T2D"],"R3HDML","20",42965683,42979878,3.365597422608046e-18,3.365597422608046e-18,8.619389625761146,,1182415,3.365597422608048e-18
["T2D"],"SYN2","3",12045862,12233532,4.647061636680921e-18,4.647061636680921e-18,8.582366170301539,,1020844,4.6470616366809086e-18
["T2D"],"SENP2","3",185300284,185351339,4.757216534882465e-18,4.757216534882465e-18,8.579671663311503,,1109865,4.7572165348824655e-18
["T2D"],"FRAT1","10",99079028,99081672,6.17838316510951e-18,6.17838316510951e-18,8.549551558159598,,1143094,6.178383165109508e-18
["T2D"],"PSORS1C1","6",31082527,31107869,6.259894824063317e-18,6.259894824063317e-18,8.548038558028713,,1280823,6.2598948240633154e-18
["T2D"],"AGPAT1","6",32135989,32145873,6.56121469055265e-18,6.56121469055265e-18,8.54260946537875,,982081,6.5612146905526304e-18
["T2D"],"SEC16A","9",139334548,139378211,9.244179276665187e-18,9.244179276665187e-18,8.50291794982514,,893259,9.244179276665167e-18
["T2D"],"CTRB1","16",75252886,75260236,9.342118176323825e-18,9.342118176323825e-18,8.501694892817715,,947667,9.342118176323796e-18
["T2D"],"ACSL1","4",185676749,185747972,9.493678265846783e-18,9.493678265846783e-18,8.499826933192729,,1011331,9.493678265846819e-18
["T2D"],"LTBP3","11",65306030,65326401,1.0095477979688032e-17,1.0095477979688032e-17,8.492689298623741,,808947,1.0095477979688067e-17
["T2D"],"P2RX7","12",121570622,121625835,1.1213031340655479e-17,1.1213031340655479e-17,8.480483194776578,,1237238,1.1213031340655459e-17
["T2D"],"EHMT2","6",31847536,31865475,1.1371347593721108e-17,1.1371347593721108e-17,8.47885189927465,,801312,1.1371347593721077e-17
["T2D"],"GTF3C2","2",27548716,27579866,1.1386568595200708e-17,1.1386568595200708e-17,8.478696244107025,,676109,1.13865685952007e-17
["T2D"],"ATP2A3","17",3827164,3867758,1.2410537151665733e-17,1.2410537151665733e-17,8.468670017559454,,985272,1.2410537151665694e-17
["T2D"],"STARD10","11",72465774,72505092,1.2644672261873143e-17,1.2644672261873143e-17,8.466492344806172,,1181620,1.2644672261873137e-17
["T2D"],"IFT172","2",27667244,27712672,1.2801212273398987e-17,1.2801212273398987e-17,8.465058457690175,,883757,1.2801212273398949e-17
["T2D"],"CYP21A2","6",32006104,32009421,1.2932144805585323e-17,1.2932144805585323e-17,8.46387235581122,,705006,1.2932144805585353e-17
["T2D"],"BTAF1","10",93683527,93791194,1.3597957516931608e-17,1.3597957516931608e-17,8.458018427455439,,1079447,1.359795751693162e-17
["T2D"],"SLC44A4","6",31830969,31846823,1.3865560062661737e-17,1.3865560062661737e-17,8.455744932246544,,1001130,1.3865560062661765e-17
["T2D"],"BMP8A","1",39957308,39995541,1.400328186294227e-17,1.400328186294227e-17,8.454591693525622,,820736,1.400328186294227e-17
["T2D"],"GINS4","8",41386737,41402549,1.432922246730088e-17,1.432922246730088e-17,8.451906345462648,,1006215,1.4329222467300882e-17
["T2D"],"PRRC2A","6",31588492,31605548,1.4427277758359762e-17,1.4427277758359762e-17,8.451110274643936,,947196,1.4427277758359738e-17
["T2D"],"SLC2A2","3",170714136,170744532,4.147832923587181e-17,4.147832923587181e-17,8.326943004314945,,897332,4.147832923587178e-17
["T2D"],"BPTF","17",65821619,65980494,4.3948128039298117e-17,4.3948128039298117e-17,8.320090389281964,,888172,4.3948128039298153e-17
["T2D"],"PTPN9","15",75755592,75871656,4.441716939998824e-17,4.441716939998824e-17,8.318832027488249,,906915,4.441716939998838e-17
["T2D"],"TP53INP1","8",95938200,95961606,4.500610337313531e-17,4.500610337313531e-17,8.317270441167784,,1003072,4.5006103373135454e-17
["T2D"],"CEP68","2",65283488,65314138,5.0781062565443804e-17,5.0781062565443804e-17,8.302944735822836,,979306,5.078106256544366e-17
["T2D"],"MAST2","1",46252659,46501794,5.246906220950153e-17,5.246906220950153e-17,8.299060272178986,,1003963,5.2469062209501585e-17
["T2D"],"THOC7","3",63819546,63849544,5.632951178205424e-17,5.632951178205424e-17,8.290620681309171,,840278,5.632951178205445e-17
["T2D"],"GNAS","20",57414773,57486247,6.307963061934495e-17,6.307963061934495e-17,8.277149061537125,,900370,6.307963061934506e-17
["T2D"],"PROX1","1",214156524,214214853,6.528617172860335e-17,6.528617172860335e-17,8.273052340371267,,821829,6.528617172860336e-17
["T2D"],"NEUROG3","10",71331454,71333178,6.775279627559565e-17,6.775279627559565e-17,8.268631321534661,,856434,6.775279627559573e-17
["T2D"],"HLA-DRA","6",32407655,32412823,6.803281441694068e-17,6.803281441694068e-17,8.268139500694438,,1336347,6.803281441694089e-17
["T2D"],"SSR1","6",7268539,7347679,1.0935248933610684e-16,1.0935248933610684e-16,8.21135567710222,,1224852,1.0935248933610698e-16
["T2D"],"SCYL1","11",65292548,65306175,1.3727965413851722e-16,1.3727965413851722e-16,8.184006478637327,,765504,1.3727965413851688e-16
["T2D"],"ARHGAP19","10",98981930,99052430,1.438371706033265e-16,1.438371706033265e-16,8.178384591213705,,994508,1.4383717060332654e-16
["T2D"],"ATP6V0A1","17",40610862,40674600,1.5625083252083815e-16,1.5625083252083815e-16,8.168401781025118,,836397,1.5625083252083778e-16
["T2D"],"INTS8","8",95825539,95893974,1.5790776235562652e-16,1.5790776235562652e-16,8.167128853692578,,964650,1.5790776235562644e-16
["T2D"],"ETS1","11",128328656,128457453,1.666600040326712e-16,1.666600040326712e-16,8.160616096668235,,1065462,1.6666000403267145e-16
["T2D"],"KCNK17","6",39266777,39282237,1.884728145847854e-16,1.884728145847854e-16,8.145747613763719,,860227,1.884728145847853e-16
["T2D"],"SSSCA1","11",65337931,65341413,2.463299846683153e-16,2.463299846683153e-16,8.11329321962441,,1250455,2.4632998466831486e-16
["T2D"],"EVI2B","17",29630788,29641123,2.5315070301970093e-16,2.5315070301970093e-16,8.109975089079015,,958487,2.531507030197015e-16
["T2D"],"FAM185A","7",102389418,102449672,2.6486309684599197e-16,2.6486309684599197e-16,8.104477620122598,,921168,2.648630968459913e-16
["T2D"],"TRPS1","8",116420724,116821899,2.649962281127724e-16,2.649962281127724e-16,8.104416519082434,,1021915,2.6499622811277246e-16
["T2D"],"BHMG1","19",46236697,46267799,2.7468968813799756e-16,2.7468968813799756e-16,8.100047047505797,,905447,2.7468968813799756e-16
["T2D"],"MAN2A2","15",91445448,91465814,2.911805432454732e-16,2.911805432454732e-16,8.092951393225546,,919903,2.9118054324547304e-16
["T2D"],"ABCC8","11",17414045,17498441,3.1493380924252696e-16,3.1493380924252696e-16,8.083397763026433,,1083738,3.149338092425275e-16
["T2D"],"KCNK16","6",39282474,39290744,3.628879248313882e-16,3.628879248313882e-16,8.06610300173855,,962836,3.6288792483138793e-16
["T2D"],"PPT2","6",32121218,32131455,3.7244512696637623e-16,3.7244512696637623e-16,8.062926974118398,,863292,3.724451269663766e-16
["T2D"],"ITFG3","16",284520,322182,3.9988894652616716e-16,3.9988894652616716e-16,8.05423444985439,,890318,3.998889465261686e-16
["T2D"],"ATP2B3","X",152783100,152848397,4.1043438938876774e-16,4.1043438938876774e-16,8.051049771016997,,308277,4.1043438938876843e-16
["T2D"],"APOE","19",45409048,45412650,4.1878940748601577e-16,4.1878940748601577e-16,8.048583317018432,,1148981,4.1878940748601557e-16
["T2D"],"RNF5","6",32146182,32148570,4.259717207414228e-16,4.259717207414228e-16,8.046501499040149,,1163556,4.259717207414236e-16
["T2D"],"SLC16A13","17",6939334,6943436,4.427510096327502e-16,4.427510096327502e-16,8.041769693864463,,973078,4.4275100963275055e-16
["T2D"],"HLA-B","6",31321649,31334844,4.884498371107463e-16,4.884498371107463e-16,8.029726790601046,,824711,4.884498371107463e-16
["T2D"],"PIK3C2A","11",17099277,17229533,5.158653512221795e-16,5.158653512221795e-16,8.023024133624801,,931371,5.158653512221783e-16
["T2D"],"INSR","19",7112266,7294425,5.568058154699085e-16,5.568058154699085e-16,8.013641328351277,,1054992,5.568058154699098e-16
["T2D"],"NFKBIL1","6",31514647,31526606,6.96804156400859e-16,6.96804156400859e-16,7.9860237657074435,,975614,6.968041564008571e-16
["T2D"],"PELO","5",52083750,52099878,7.733907902621904e-16,7.733907902621904e-16,7.973151666451489,,1095157,7.733907902621916e-16
["T2D"],"AEBP1","7",44143944,44154161,9.00175812773882e-16,9.00175812773882e-16,7.954376979093279,,955348,9.001758127738796e-16
["T2D"],"NRBF2","10",64893007,64914791,9.216564212299948e-16,9.216564212299948e-16,7.951456542524715,,883553,9.216564212299982e-16
["T2D"],"TIMP4","3",12194568,12200412,9.749610679826564e-16,9.749610679826564e-16,7.9444894548247325,,951765,9.749610679826596e-16
["T2D"],"ADAM30","1",120436156,120439138,1.0055281025708755e-15,1.0055281025708755e-15,7.940661619537276,,890354,1.0055281025708748e-15
["T2D"],"GLP1R","6",39016557,39059079,1.0242917787416775e-15,1.0242917787416775e-15,7.938368254600735,,1132159,1.0242917787416793e-15
["T2D"],"UNC45A","15",91473410,91497323,1.0306411393980158e-15,1.0306411393980158e-15,7.937601572483385,,985540,1.030641139398016e-15
["T2D"],"ZZEF1","17",3907739,4046324,1.122704906079209e-15,1.122704906079209e-15,7.926979144095506,,1161115,1.122704906079213e-15
["T2D"],"GRB14","2",165348927,165477992,1.147940870457615e-15,1.147940870457615e-15,7.924217115298417,,859377,1.147940870457618e-15
["T2D"],"INS-IGF2","11",2153768,2182439,1.212392244276076e-15,1.212392244276076e-15,7.917425692972078,,903164,1.2123922442760733e-15
["T2D"],"ZNF512","2",27805836,27846084,1.4273998530014218e-15,1.4273998530014218e-15,7.897094482019005,,893688,1.4273998530014271e-15
["T2D"],"DDX39B","6",31497996,31510225,1.5542643765482635e-15,1.5542643765482635e-15,7.886470548110043,,1060518,1.5542643765482594e-15
["T2D"],"TFAP2B","6",50786436,50815332,1.608223372702719e-15,1.608223372702719e-15,7.882208519626625,,1070912,1.6082233727027176e-15
["T2D"],"SNF8","17",47006678,47022204,1.6131192012217304e-15,1.6131192012217304e-15,7.881828808913368,,1084567,1.6131192012217343e-15
["T2D"],"C6orf1","6",34214158,34216885,1.7779456708877143e-15,1.7779456708877143e-15,7.869666058379362,,922496,1.777945670887719e-15
["T2D"],"RSPH6A","19",46298971,46318566,1.899931285033802e-15,1.899931285033802e-15,7.861359575996014,,1136429,1.8999312850337994e-15
["T2D"],"CTRB2","16",75238001,75241059,2.0900151727951366e-15,2.0900151727951366e-15,7.849408793687886,,816742,2.090015172795139e-15
["T2D"],"JMY","5",78531954,78623034,2.0916484332251535e-15,2.0916484332251535e-15,7.849310817903089,,934606,2.0916484332251614e-15
["T2D"],"BCL2","18",60790579,60987361,2.320001841223684e-15,2.320001841223684e-15,7.836304365280467,,969246,2.32000184122368e-15
["T2D"],"ZNF799","19",12500830,12512085,2.5186348005211834e-15,2.5186348005211834e-15,7.825977617437407,,732705,2.5186348005211854e-15
["T2D"],"BDNF","11",27676440,27743605,2.6040125244497413e-15,2.6040125244497413e-15,7.821783195510963,,917732,2.604012524449737e-15
["T2D"],"UVSSA","4",1339479,1389777,2.6216435323934386e-15,2.6216435323934386e-15,7.8209339064783245,,1031338,2.621643532393447e-15
["T2D"],"GPSM3","6",32158543,32163300,2.6946719621393073e-15,2.6946719621393073e-15,7.817474973993061,,1048271,2.694671962139311e-15
["T2D"],"BRAF","7",140419127,140624729,2.785778504980434e-15,2.785778504980434e-15,7.813286914475408,,1025264,2.7857785049804386e-15
["T2D"],"PGM1","1",64059082,64125916,2.8069576567928736e-15,2.8069576567928736e-15,7.812332659585312,,1174900,2.8069576567928822e-15
["T2D"],"PMPCA","9",139305082,139322444,3.4630492701419783e-15,3.4630492701419783e-15,7.785822766081652,,955865,3.4630492701419767e-15
